Time stamp,Date,Time,Month _num,Month,Day_of_week,Season,Day_type,Tariff type,Year,Price
01/03/2019 00:00,01/03/2019,0,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 01:00,01/03/2019,1,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 02:00,01/03/2019,2,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 03:00,01/03/2019,3,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 04:00,01/03/2019,4,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 05:00,01/03/2019,5,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 06:00,01/03/2019,6,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 07:00,01/03/2019,7,3,March,6,Winter,Sat,Base,2019,0.9448
01/03/2019 08:00,01/03/2019,8,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 09:00,01/03/2019,9,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 10:00,01/03/2019,10,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 11:00,01/03/2019,11,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 12:00,01/03/2019,12,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 13:00,01/03/2019,13,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 14:00,01/03/2019,14,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 15:00,01/03/2019,15,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 16:00,01/03/2019,16,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 17:00,01/03/2019,17,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 18:00,01/03/2019,18,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 19:00,01/03/2019,19,3,March,6,Winter,Sat,Peak,2019,1.9051
01/03/2019 20:00,01/03/2019,20,3,March,6,Winter,Sat,Peak,2019,1.9051
01/03/2019 21:00,01/03/2019,21,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 22:00,01/03/2019,22,3,March,6,Winter,Sat,Intermediate,2019,1.673
01/03/2019 23:00,01/03/2019,23,3,March,6,Winter,Sat,Intermediate,2019,1.673
02/03/2019 00:00,02/03/2019,0,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 01:00,02/03/2019,1,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 02:00,02/03/2019,2,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 03:00,02/03/2019,3,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 04:00,02/03/2019,4,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 05:00,02/03/2019,5,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 06:00,02/03/2019,6,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 07:00,02/03/2019,7,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 08:00,02/03/2019,8,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 09:00,02/03/2019,9,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 10:00,02/03/2019,10,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 11:00,02/03/2019,11,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 12:00,02/03/2019,12,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 13:00,02/03/2019,13,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 14:00,02/03/2019,14,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 15:00,02/03/2019,15,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 16:00,02/03/2019,16,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 17:00,02/03/2019,17,3,March,7,Winter,Sun,Base,2019,0.9448
02/03/2019 18:00,02/03/2019,18,3,March,7,Winter,Sun,Intermediate,2019,1.673
02/03/2019 19:00,02/03/2019,19,3,March,7,Winter,Sun,Intermediate,2019,1.673
02/03/2019 20:00,02/03/2019,20,3,March,7,Winter,Sun,Intermediate,2019,1.673
02/03/2019 21:00,02/03/2019,21,3,March,7,Winter,Sun,Intermediate,2019,1.673
02/03/2019 22:00,02/03/2019,22,3,March,7,Winter,Sun,Intermediate,2019,1.673
02/03/2019 23:00,02/03/2019,23,3,March,7,Winter,Sun,Intermediate,2019,1.673
03/03/2019 00:00,03/03/2019,0,3,March,1,Winter,M_T_F,Base,2019,0.9448
03/03/2019 01:00,03/03/2019,1,3,March,1,Winter,M_T_F,Base,2019,0.9448
03/03/2019 02:00,03/03/2019,2,3,March,1,Winter,M_T_F,Base,2019,0.9448
03/03/2019 03:00,03/03/2019,3,3,March,1,Winter,M_T_F,Base,2019,0.9448
03/03/2019 04:00,03/03/2019,4,3,March,1,Winter,M_T_F,Base,2019,0.9448
03/03/2019 05:00,03/03/2019,5,3,March,1,Winter,M_T_F,Base,2019,0.9448
03/03/2019 06:00,03/03/2019,6,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 07:00,03/03/2019,7,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 08:00,03/03/2019,8,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 09:00,03/03/2019,9,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 10:00,03/03/2019,10,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 11:00,03/03/2019,11,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 12:00,03/03/2019,12,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 13:00,03/03/2019,13,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 14:00,03/03/2019,14,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 15:00,03/03/2019,15,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 16:00,03/03/2019,16,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 17:00,03/03/2019,17,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 18:00,03/03/2019,18,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 19:00,03/03/2019,19,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 20:00,03/03/2019,20,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 21:00,03/03/2019,21,3,March,1,Winter,M_T_F,Peak,2019,1.9051
03/03/2019 22:00,03/03/2019,22,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
03/03/2019 23:00,03/03/2019,23,3,March,1,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 00:00,04/03/2019,0,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 01:00,04/03/2019,1,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 02:00,04/03/2019,2,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 03:00,04/03/2019,3,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 04:00,04/03/2019,4,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 05:00,04/03/2019,5,3,March,2,Winter,M_T_F,Base,2019,0.9448
04/03/2019 06:00,04/03/2019,6,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 07:00,04/03/2019,7,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 08:00,04/03/2019,8,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 09:00,04/03/2019,9,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 10:00,04/03/2019,10,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 11:00,04/03/2019,11,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 12:00,04/03/2019,12,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 13:00,04/03/2019,13,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 14:00,04/03/2019,14,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 15:00,04/03/2019,15,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 16:00,04/03/2019,16,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 17:00,04/03/2019,17,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 18:00,04/03/2019,18,3,March,2,Winter,M_T_F,Peak,2019,1.9051
04/03/2019 19:00,04/03/2019,19,3,March,2,Winter,M_T_F,Peak,2019,1.9051
04/03/2019 20:00,04/03/2019,20,3,March,2,Winter,M_T_F,Peak,2019,1.9051
04/03/2019 21:00,04/03/2019,21,3,March,2,Winter,M_T_F,Peak,2019,1.9051
04/03/2019 22:00,04/03/2019,22,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
04/03/2019 23:00,04/03/2019,23,3,March,2,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 00:00,05/03/2019,0,3,March,3,Winter,M_T_F,Base,2019,0.9448
05/03/2019 01:00,05/03/2019,1,3,March,3,Winter,M_T_F,Base,2019,0.9448
05/03/2019 02:00,05/03/2019,2,3,March,3,Winter,M_T_F,Base,2019,0.9448
05/03/2019 03:00,05/03/2019,3,3,March,3,Winter,M_T_F,Base,2019,0.9448
05/03/2019 04:00,05/03/2019,4,3,March,3,Winter,M_T_F,Base,2019,0.9448
05/03/2019 05:00,05/03/2019,5,3,March,3,Winter,M_T_F,Base,2019,0.9448
05/03/2019 06:00,05/03/2019,6,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 07:00,05/03/2019,7,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 08:00,05/03/2019,8,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 09:00,05/03/2019,9,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 10:00,05/03/2019,10,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 11:00,05/03/2019,11,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 12:00,05/03/2019,12,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 13:00,05/03/2019,13,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 14:00,05/03/2019,14,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 15:00,05/03/2019,15,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 16:00,05/03/2019,16,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 17:00,05/03/2019,17,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 18:00,05/03/2019,18,3,March,3,Winter,M_T_F,Peak,2019,1.9051
05/03/2019 19:00,05/03/2019,19,3,March,3,Winter,M_T_F,Peak,2019,1.9051
05/03/2019 20:00,05/03/2019,20,3,March,3,Winter,M_T_F,Peak,2019,1.9051
05/03/2019 21:00,05/03/2019,21,3,March,3,Winter,M_T_F,Peak,2019,1.9051
05/03/2019 22:00,05/03/2019,22,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
05/03/2019 23:00,05/03/2019,23,3,March,3,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 00:00,06/03/2019,0,3,March,4,Winter,M_T_F,Base,2019,0.9448
06/03/2019 01:00,06/03/2019,1,3,March,4,Winter,M_T_F,Base,2019,0.9448
06/03/2019 02:00,06/03/2019,2,3,March,4,Winter,M_T_F,Base,2019,0.9448
06/03/2019 03:00,06/03/2019,3,3,March,4,Winter,M_T_F,Base,2019,0.9448
06/03/2019 04:00,06/03/2019,4,3,March,4,Winter,M_T_F,Base,2019,0.9448
06/03/2019 05:00,06/03/2019,5,3,March,4,Winter,M_T_F,Base,2019,0.9448
06/03/2019 06:00,06/03/2019,6,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 07:00,06/03/2019,7,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 08:00,06/03/2019,8,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 09:00,06/03/2019,9,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 10:00,06/03/2019,10,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 11:00,06/03/2019,11,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 12:00,06/03/2019,12,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 13:00,06/03/2019,13,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 14:00,06/03/2019,14,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 15:00,06/03/2019,15,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 16:00,06/03/2019,16,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 17:00,06/03/2019,17,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 18:00,06/03/2019,18,3,March,4,Winter,M_T_F,Peak,2019,1.9051
06/03/2019 19:00,06/03/2019,19,3,March,4,Winter,M_T_F,Peak,2019,1.9051
06/03/2019 20:00,06/03/2019,20,3,March,4,Winter,M_T_F,Peak,2019,1.9051
06/03/2019 21:00,06/03/2019,21,3,March,4,Winter,M_T_F,Peak,2019,1.9051
06/03/2019 22:00,06/03/2019,22,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
06/03/2019 23:00,06/03/2019,23,3,March,4,Winter,M_T_F,Intermediate,2019,1.673
07/03/2019 00:00,07/03/2019,0,3,March,5,Winter,M_T_F,Base,2019,0.9448
07/03/2019 01:00,07/03/2019,1,3,March,5,Winter,M_T_F,Base,2019,0.9448
07/03/2019 02:00,07/03/2019,2,3,March,5,Winter,M_T_F,Base,2019,0.9448
07/03/2019 03:00,07/03/2019,3,3,March,5,Winter,M_T_F,Base,2019,0.9448
