Date,Avg Temperature,UV Index,Precipitation MM,Humidity %,Heat Index,Dew Point,Wind Chill,Feels Like
01-03-2019,20.0,6.0,0.0,33.0,20.0,1.0,20.0,20.0
02-03-2019,21.0,6.0,0.0,37.0,20.0,3.0,20.0,20.0
03-03-2019,22.0,6.0,0.0,30.0,23.0,0.0,22.0,23.0
04-03-2019,22.0,6.0,0.0,34.0,22.0,2.0,22.0,22.0
05-03-2019,21.0,6.0,0.0,38.0,21.0,4.0,21.0,21.0
06-03-2019,19.0,5.0,0.0,44.0,19.0,5.0,19.0,19.0
07-03-2019,22.0,6.0,0.0,39.0,22.0,4.0,22.0,22.0
08-03-2019,22.0,6.0,0.0,30.0,23.0,2.0,22.0,23.0
09-03-2019,23.0,6.0,0.0,26.0,23.0,-1.0,22.0,23.0
10-03-2019,23.0,6.0,0.0,26.0,22.0,-1.0,22.0,22.0
11-03-2019,22.0,6.0,0.0,32.0,22.0,3.0,22.0,22.0
12-03-2019,21.0,6.0,0.0,39.0,20.0,5.0,21.0,21.0
13-03-2019,20.0,6.0,0.0,31.0,20.0,1.0,20.0,20.0
14-03-2019,20.0,6.0,0.0,32.0,20.0,1.0,21.0,21.0
15-03-2019,21.0,6.0,0.0,31.0,22.0,2.0,22.0,22.0
16-03-2019,19.0,4.0,0.0,49.0,18.0,5.0,19.0,19.0
17-03-2019,20.0,5.0,0.1,42.0,19.0,6.0,19.0,19.0
18-03-2019,20.0,6.0,9.5,50.0,19.0,7.0,20.0,20.0
19-03-2019,19.0,5.0,0.0,42.0,20.0,3.0,19.0,19.0
20-03-2019,20.0,5.0,0.0,31.0,20.0,1.0,19.0,19.0
21-03-2019,19.0,5.0,0.0,44.0,20.0,6.0,20.0,20.0
22-03-2019,19.0,5.0,0.1,46.0,19.0,4.0,19.0,19.0
23-03-2019,20.0,5.0,0.0,36.0,20.0,2.0,20.0,20.0
24-03-2019,23.0,6.0,0.0,27.0,23.0,2.0,23.0,23.0
25-03-2019,24.0,6.0,0.0,28.0,24.0,3.0,24.0,24.0
26-03-2019,21.0,6.0,0.0,37.0,21.0,2.0,21.0,21.0
27-03-2019,20.0,5.0,0.0,43.0,20.0,4.0,20.0,20.0
28-03-2019,22.0,6.0,0.0,36.0,22.0,3.0,22.0,22.0
29-03-2019,24.0,6.0,0.0,24.0,24.0,0.0,24.0,24.0
30-03-2019,24.0,6.0,0.0,14.0,24.0,-7.0,24.0,24.0
31-03-2019,23.0,6.0,0.0,19.0,22.0,-4.0,22.0,22.0
01-04-2019,22.0,6.0,0.0,29.0,22.0,0.0,22.0,22.0
02-04-2019,22.0,6.0,0.0,28.0,21.0,1.0,22.0,22.0
03-04-2019,22.0,6.0,0.0,26.0,21.0,-1.0,21.0,21.0
04-04-2019,23.0,6.0,0.0,25.0,22.0,-0.0,23.0,22.0
05-04-2019,22.0,6.0,0.0,28.0,21.0,1.0,22.0,22.0
06-04-2019,22.0,6.0,0.0,25.0,22.0,-1.0,22.0,22.0
07-04-2019,21.0,6.0,0.0,21.0,21.0,-5.0,21.0,21.0
