Time stamp,COMP_REF1,COMP_REF13,COMP_REF14,COMP_REF2,COMP_REF4,COMP_REF6,COMP_REF7,COMP_REF8,COMP_REF9,TUNEL1,TUNEL2,TUNEL3
01/03/2019 00:00,333.66,0.6813,0.2207,324.49,0,0,249.88,0,0,0,0,215.32
01/03/2019 01:00,331.95,35.1,16.48,322.9,0,0,246.86,0,0,0,0,218.42
01/03/2019 02:00,325.67,265.57,97.78,319.94,0,0,248.48,0,0,0,0,222.28
01/03/2019 03:00,296.48,266.11,100.76,310.74,0,0,221.11,0,0,0,0,224.66
01/03/2019 04:00,317.73,279.19,106.04,313.88,0,0,238.68,0,0,0,0,225.14
01/03/2019 05:00,315.95,271.32,98.42,313.22,0,0,239.45,0,0,0,0,225.1
01/03/2019 06:00,289.37,208.37,79.01,303.81,0,0,252.6,0,0,0,0,227.39
01/03/2019 07:00,259.72,263.35,98.3,298.49,0,0,222.04,0,0,0,0,235.02
01/03/2019 08:00,254.03,275.78,100.37,293.34,0,0,234.82,0,0,0,0,237.45
01/03/2019 09:00,253.29,271.19,102.34,295.58,0,0,238.22,0,0,0,0,237.4
01/03/2019 10:00,295.5,269.32,101.37,301.73,0,0,251.58,0,0,0,0,243.28
01/03/2019 11:00,263.34,86.96,32.66,296.35,0,0,217.38,0,0,0,0,243.42
01/03/2019 12:00,271.66,0.664,0.2151,299.71,0,0,237.26,0,0,0,0,242.49
01/03/2019 13:00,251.39,0.6323,0.2079,292.63,0,0,235.62,0,0,0,0,245.39
01/03/2019 14:00,205.64,0.5944,0.2025,268.53,0,0,252.37,0,0,0,0,246.6
01/03/2019 15:00,49.92,0.536,0.2669,108.79,0,0,217.13,0,0,0,0,99.07
01/03/2019 16:00,0.8209,210.03,80.93,0.7881,0,0,238.94,0,0,0,0,41.52
01/03/2019 17:00,0.8347,283.72,108.89,0.7883,0,0,239.73,0,0,0,0,187.35
01/03/2019 18:00,238.09,271.9,103.07,202.44,0,0,261.32,0,0,0,0,203.79
01/03/2019 19:00,316.2,280.11,98.69,312.71,0,0,224.3,0,0,0,0,209.69
01/03/2019 20:00,337.89,282.09,107.85,328.46,0,0,254.05,0,0,0,0,208.71
01/03/2019 21:00,342.48,282.91,107.91,332.16,0,0,246.04,0,0,0,0,211.84
01/03/2019 22:00,340.73,284.97,108.19,330.71,0,0,256.41,0,0,0,0,212.4
01/03/2019 23:00,270.58,261.48,95.97,304.7,0,0,232.59,0,0,0,0,215.26
02/03/2019 00:00,323.06,273.15,102.45,317.29,0,0,240.74,0,0,0,0,215.72
02/03/2019 01:00,320.87,275.46,100.56,316.51,0,0,244.57,0,0,0,0,217.49
02/03/2019 02:00,322.04,278.94,103.47,316.79,0,0,251.24,0,0,0,0,218.92
02/03/2019 03:00,316.35,278.17,103.64,312.92,0,0,213.17,0,0,0,0,221.06
02/03/2019 04:00,323.23,278.35,103.78,317.95,0,0,229.67,0,0,0,0,222.8
02/03/2019 05:00,310.58,276.7,99.77,311.71,0,0,235.91,0,0,0,0,224.61
02/03/2019 06:00,267.43,214.95,79.18,304.53,0,0,242.74,0,0,0,0,225.4
02/03/2019 07:00,191.54,260.2,93.66,263.88,0,0,216.55,0,0,0,0,197.95
02/03/2019 08:00,11.25,279.04,104.07,17.37,0,0,236.58,0,0,0,0,54.75
02/03/2019 09:00,0.8491,280.94,104.88,0.7959,0,0,237.21,0,0,0,0,3.04
02/03/2019 10:00,0.8513,280.62,102.41,0.7968,0,0,254.39,0,0,0,0,3.07
02/03/2019 11:00,0.8335,276.15,99.23,0.7922,0,0,223,0,0,0,0,127.92
02/03/2019 12:00,133.95,252.35,104.97,153.02,0,0,244.66,0,0,0,0,139.98
02/03/2019 13:00,212.72,161.82,60.93,276.81,0,0,246.76,0,0,0,0,210.08
02/03/2019 14:00,268.51,0.7864,0.2191,293.55,0,0,262.71,0,0,0,0,207.45
