,Date,energy,Total Cost,Product_A,Product_B,Temp,UV,PrecMM,Hum,Heat,DP,WChill,FLike
0,2019-03-01,29874.383100000003,42746.3054789,4293600.0,4080434.400000001,240.0,72.0,0.0,396.0,240.0,12.0,240.0,240.0
1,2019-03-02,27159.777,30417.406059660003,3887520.0,3778383.599999999,252.0,72.0,0.0,444.0,240.0,36.0,240.0,240.0
2,2019-03-03,12241.1578,18023.91164703,941520.0,241018.20000000004,264.0,72.0,0.0,360.0,276.0,0.0,264.0,276.0
3,2019-03-04,18871.5488,31665.925707410002,2406000.0,4733691.3,264.0,72.0,0.0,408.0,264.0,24.0,264.0,264.0
4,2019-03-05,25744.3528,41031.833479659996,3641520.0,5110558.199999999,252.0,72.0,0.0,456.0,252.0,48.0,252.0,252.0
5,2019-03-06,27946.294599999997,42179.42498821,4723920.0,3902229.0,228.0,60.0,0.0,528.0,228.0,60.0,228.0,228.0
6,2019-03-07,26724.2811,38858.05959002,3667800.0,4990155.54,264.0,72.0,0.0,468.0,264.0,48.0,264.0,264.0
7,2019-03-08,22665.894899999996,36104.46830221,3709800.0,4963343.400000001,264.0,72.0,0.0,360.0,276.0,24.0,264.0,276.0
8,2019-03-09,29646.566800000004,34097.07098464,4695480.0,3493414.2000000007,276.0,72.0,0.0,312.0,276.0,-12.0,264.0,276.0
9,2019-03-10,11246.975900000001,14066.81713607,996240.0,723558.6000000001,276.0,72.0,0.0,312.0,264.0,-12.0,264.0,264.0
10,2019-03-11,18192.272399999998,30869.20798594,2521680.0,4048881.900000001,264.0,72.0,0.0,384.0,264.0,36.0,264.0,264.0
11,2019-03-12,26800.533799999994,41074.18600872,4171560.0,4729463.400000001,252.0,72.0,0.0,468.0,240.0,60.0,252.0,252.0
12,2019-03-13,28189.6434,42393.735183079996,4530960.0,4547649.599999999,240.0,72.0,0.0,372.0,240.0,12.0,240.0,240.0
13,2019-03-14,26353.9761,39202.40823509,4303560.0,4614243.599999999,240.0,72.0,0.0,384.0,240.0,12.0,252.0,252.0
14,2019-03-15,23713.8162,37455.98433998,3562800.0,4188029.400000001,252.0,72.0,0.0,372.0,264.0,24.0,264.0,264.0
15,2019-03-16,28377.456999999995,33140.5139276,4348200.0,4044253.2000000007,228.0,48.0,0.0,588.0,216.0,60.0,228.0,228.0
16,2019-03-17,13034.462,16881.361937560003,1662840.0,1549533.6000000003,240.0,60.0,1.2,504.0,228.0,72.0,228.0,228.0
17,2019-03-18,21784.3866,37825.633185800005,3307200.0,4172746.5,240.0,72.0,114.0,600.0,228.0,84.0,240.0,240.0
18,2019-03-19,28441.059999999998,44076.75742293,3932040.0,5011452.0,228.0,60.0,0.0,504.0,240.0,36.0,228.0,228.0
19,2019-03-20,28424.2071,43862.365298150005,4507740.0,4978023.0,240.0,60.0,0.0,372.0,240.0,12.0,228.0,228.0
20,2019-03-21,30737.86,45936.005026659994,5316600.0,4397173.2,228.0,60.0,0.0,528.0,240.0,72.0,240.0,240.0
21,2019-03-22,31036.4315,43811.143666539996,5900160.0,4631383.2,228.0,60.0,1.2,552.0,228.0,48.0,228.0,228.0
22,2019-03-23,31198.8778,35346.66329148,5700480.0,4214472.599999999,240.0,60.0,0.0,432.0,240.0,24.0,240.0,240.0
23,2019-03-24,17332.439599999998,25099.936065790003,2364360.0,901737.6000000002,276.0,72.0,0.0,324.0,276.0,24.0,276.0,276.0
24,2019-03-25,25038.5206,42329.21219522,4094160.0,4868520.996,288.0,72.0,0.0,336.0,288.0,36.0,288.0,288.0
25,2019-03-26,30306.4011,46200.718224020005,4736400.0,5566726.716000001,252.0,72.0,0.0,444.0,252.0,24.0,252.0,252.0
26,2019-03-27,30070.4686,45737.971530610004,5294760.0,5136087.599999999,240.0,60.0,0.0,516.0,240.0,48.0,240.0,240.0
27,2019-03-28,31527.461099999997,46940.72511785,5099160.0,4762338.599999999,264.0,72.0,0.0,432.0,264.0,36.0,264.0,264.0
28,2019-03-29,30157.3137,42408.5941815,5262720.0,4201776.455999998,288.0,72.0,0.0,288.0,288.0,0.0,288.0,288.0
29,2019-03-30,30544.3593,33756.12196964,5238960.0,3711283.6560000014,288.0,72.0,0.0,168.0,288.0,-84.0,288.0,288.0
